CYCLES;0x0C;0x0D;0x0E;0x0F;0x10;0x12
23396096;4816897;6400258;0;0;51876;6400328 
23412383;4816897;6400262;0;0;51866;6400333 
23402430;4816904;6400266;0;0;51852;6400336 
23402563;4816899;6400261;0;0;51812;6400331 
23395408;4816901;6400264;0;0;51898;6400334 
23398650;4816903;6400265;0;0;51839;6400335 
23396898;4816899;6400265;0;0;51847;6400335 
23415022;4816902;6400266;0;0;51905;6400336 
23397008;4816900;6400263;0;0;51856;6400332 
23405185;4816904;6400268;0;0;51888;6400338 
23401704;4816897;6400262;0;0;51884;6400332 
23409425;4816898;6400262;0;0;51918;6400333 
23400405;4816902;6400265;0;0;51865;6400335 
23415278;4816899;6400260;0;0;51903;6400331 
23401269;4816900;6400264;0;0;51927;6400334 
23399714;4816900;6400262;0;0;51860;6400332 
23398221;4816898;6400260;0;0;51859;6400330 
23397633;4816900;6400262;0;0;51971;6400332 
23407099;4816900;6400263;0;0;51930;6400334 
23396864;4816905;6400272;0;0;51965;6400341 
23401387;4816904;6400265;0;0;51910;6400335 
23397221;4816899;6400263;0;0;51864;6400333 
23399114;4816901;6400264;0;0;51835;6400334 
23396959;4816899;6400263;0;0;51881;6400333 
23431318;4816903;6400268;0;0;51948;6400338 
23411788;4816895;6400259;0;0;51896;6400328 
23399324;4816898;6400262;0;0;51836;6400332 
23396268;4816896;6400263;0;0;51823;6400333 
23403909;4816903;6400268;0;0;51821;6400338 
23395462;4816896;6400261;0;0;51871;6400330 
23397644;4816896;6400258;0;0;51879;6400327 
23397717;4816898;6400263;0;0;51910;6400333 
23398167;4816901;6400263;0;0;51857;6400333 
23401248;4816898;6400265;0;0;51867;6400335 
23396422;4816898;6400265;0;0;51915;6400335 
23427614;4816898;6400261;0;0;51835;6400331 
23396216;4816898;6400261;0;0;51914;6400331 
23394776;4816900;6400264;0;0;51891;6400334 
23406233;4816900;6400264;0;0;51872;6400334 
23412329;4816897;6400264;0;0;51750;6400334 
23414588;4816899;6400267;0;0;51932;6400337 
23409662;4816903;6400266;0;0;51850;6400336 
23408852;4816898;6400262;0;0;51850;6400332 
23402855;4816897;6400264;0;0;51902;6400334 
23401578;4816900;6400266;0;0;51892;6400336 
23396501;4816901;6400265;0;0;51924;6400335 
23400031;4816898;6400261;0;0;51811;6400331 
23408336;4816898;6400260;0;0;51893;6400330 
23411818;4816899;6400266;0;0;51949;6400336 
23396217;4816898;6400263;0;0;51908;6400333 
23397212;4816898;6400261;0;0;51992;6400331 
23401956;4816900;6400263;0;0;51824;6400333 
23407135;4816897;6400261;0;0;51906;6400331 
23397445;4816900;6400265;0;0;51861;6400334 
23396546;4816900;6400262;0;0;51847;6400332 
23395200;4816902;6400266;0;0;51921;6400336 
23415107;4816901;6400269;0;0;51914;6400339 
23403333;4816902;6400266;0;0;51807;6400336 
23399016;4816895;6400256;0;0;51859;6400326 
23407610;4816895;6400258;0;0;51905;6400328 
23408606;4816900;6400263;0;0;51973;6400333 
23401271;4816904;6400265;0;0;51879;6400335 
23413726;4816901;6400268;0;0;51863;6400337 
23408163;4816900;6400263;0;0;51935;6400333 
23399064;4816904;6400266;0;0;51843;6400336 
23395983;4816897;6400262;0;0;51844;6400332 
23404669;4816904;6400266;0;0;51884;6400336 
23398821;4816899;6400261;0;0;51914;6400331 
23398941;4816902;6400265;0;0;51897;6400335 
23396769;4816897;6400260;0;0;51841;6400330 
23406995;4816900;6400263;0;0;51912;6400333 
23398517;4816902;6400268;0;0;51947;6400338 
23413952;4816898;6400261;0;0;51820;6400331 
23397433;4816900;6400263;0;0;51849;6400333 
23414337;4816896;6400264;0;0;51843;6400334 
23405943;4816901;6400262;0;0;51871;6400332 
23409994;4816903;6400265;0;0;51846;6400335 
23411049;4816899;6400265;0;0;51925;6400335 
23397475;4816898;6400265;0;0;51903;6400335 
23398075;4816901;6400262;0;0;51922;6400332 
23400554;4816898;6400262;0;0;51874;6400332 
23397713;4816898;6400259;0;0;51902;6400329 
23398248;4816906;6400271;0;0;51835;6400341 
23404490;4816899;6400262;0;0;51826;6400332 
23397457;4816898;6400263;0;0;51889;6400333 
23396630;4816897;6400261;0;0;51920;6400331 
23397575;4816899;6400265;0;0;51906;6400335 
23406810;4816901;6400265;0;0;51995;6400335 
23404049;4816898;6400263;0;0;51840;6400333 
23406983;4816901;6400263;0;0;51854;6400333 
23408307;4816899;6400265;0;0;51902;6400335 
23399111;4816897;6400263;0;0;51891;6400333 
23404359;4816902;6400263;0;0;51873;6400333 
23402148;4816898;6400260;0;0;51906;6400330 
23396657;4816897;6400260;0;0;51840;6400330 
23430712;4816901;6400268;0;0;51877;6400338 
23396829;4816901;6400263;0;0;51844;6400333 
23399871;4816900;6400263;0;0;51869;6400333 
23425477;4816897;6400260;0;0;51892;6400330 
23399358;4816905;6400271;0;0;51888;6400341 
23395902;4816898;6400260;0;0;51858;6400330 
23404263;4816899;6400261;0;0;51924;6400331 
23406966;4816900;6400266;0;0;51925;6400336 
23393833;4816898;6400265;0;0;51849;6400334 
23399285;4816904;6400266;0;0;51908;6400336 
23427465;4816899;6400261;0;0;51887;6400331 
23400183;4816898;6400262;0;0;51864;6400332 
23394972;4816906;6400269;0;0;51852;6400339 
23395548;4816902;6400266;0;0;51825;6400336 
23395160;4816899;6400264;0;0;51886;6400334 
23407352;4816897;6400261;0;0;51843;6400331 
23427350;4816899;6400261;0;0;51912;6400331 
23399406;4816900;6400262;0;0;51899;6400332 
23400066;4816900;6400262;0;0;51899;6400332 
23411611;4816914;6400265;0;0;51912;6400347 
23397578;4816901;6400269;0;0;51835;6400339 
23405596;4816896;6400259;0;0;51850;6400329 
23399699;4816900;6400262;0;0;51913;6400332 
23410332;4816906;6400268;0;0;51958;6400338 
23399328;4816901;6400265;0;0;51875;6400335 
23453526;4816895;6400263;0;0;51956;6400333 
23413750;4816897;6400260;0;0;51842;6400330 
23394928;4816899;6400266;0;0;51850;6400335 
23427782;4816894;6400256;0;0;51866;6400326 
23408157;4816899;6400264;0;0;51867;6400334 
23397649;4816902;6400266;0;0;51894;6400336 
23404847;4816897;6400260;0;0;51901;6400330 
23396199;4816897;6400262;0;0;51905;6400332 
23397390;4816901;6400265;0;0;51886;6400335 
23415850;4816901;6400266;0;0;51940;6400336 
23408592;4816899;6400263;0;0;51882;6400333 
23405847;4816903;6400268;0;0;51963;6400338 
23396098;4816903;6400265;0;0;51919;6400335 
23396328;4816901;6400263;0;0;51805;6400333 
23403673;4816902;6400266;0;0;51910;6400336 
23395395;4816899;6400261;0;0;51883;6400331 
23397293;4816899;6400263;0;0;51781;6400333 
23396429;4816897;6400260;0;0;51827;6400330 
23396809;4816898;6400262;0;0;51828;6400332 
23412897;4816904;6400269;0;0;51880;6400339 
23406229;4816900;6400263;0;0;51842;6400333 
23398897;4816898;6400261;0;0;51893;6400331 
23423614;4816900;6400267;0;0;51864;6400337 
23398841;4816897;6400260;0;0;51835;6400330 
23396655;4816898;6400264;0;0;51831;6400334 
23399425;4816898;6400264;0;0;51931;6400334 
23399922;4816899;6400263;0;0;51927;6400334 
23396024;4816900;6400265;0;0;51909;6400336 
23402473;4816902;6400265;0;0;51882;6400335 
23395001;4816899;6400264;0;0;51844;6400334 
23397833;4816902;6400263;0;0;51898;6400333 
23397683;4816901;6400265;0;0;51845;6400335 
23398296;4816901;6400265;0;0;51915;6400335 
23405054;4816899;6400260;0;0;51960;6400330 
23397923;4816899;6400262;0;0;51854;6400332 
23407113;4816902;6400263;0;0;51836;6400333 
23396198;4816897;6400261;0;0;51860;6400330 
23415319;4816902;6400264;0;0;51899;6400334 
23398575;4816903;6400266;0;0;51906;6400336 
23405987;4816899;6400264;0;0;51841;6400334 
23401965;4816896;6400261;0;0;51923;6400331 
23397765;4816902;6400265;0;0;51922;6400335 
23406773;4816897;6400264;0;0;51937;6400334 
23402434;4816896;6400259;0;0;51862;6400329 
23396488;4816901;6400263;0;0;51890;6400333 
23396068;4816899;6400261;0;0;51890;6400331 
23396854;4816898;6400262;0;0;51882;6400332 
23397607;4816901;6400264;0;0;51903;6400334 
23409572;4816900;6400265;0;0;51865;6400335 
23400373;4816902;6400264;0;0;51849;6400334 
23403646;4816900;6400266;0;0;51881;6400336 
23397586;4816899;6400262;0;0;51928;6400332 
